step,loss,lr,elapsed
0,4.179152,0.0003,0.6
200,2.481479,0.00029259,92.2
400,2.50224,0.00027121,183.7
600,2.468858,0.00023798,277.0
800,2.414218,0.00019613,370.9
1000,2.433797,0.00014976,462.5
1200,2.457745,0.00010342,553.7
1400,2.459327,6.164e-05,643.8
1600,2.405047,2.851e-05,735.9
1800,2.42207,7.27e-06,828.4
1999,2.425241,0.0,918.3
