step,loss,lr,elapsed
0,4.191072,0.0003,0.6
100,2.545628,0.00029812,32.5
200,2.473066,0.00029259,62.9
300,2.437535,0.00028354,93.7
400,2.424133,0.00027121,124.6
500,2.378458,0.0002559,155.3
600,2.333475,0.00023798,187.7
700,2.226686,0.00021789,218.7
800,2.17469,0.00019613,249.9
900,2.081993,0.00017323,281.3
1000,2.060919,0.00014976,312.3
1100,2.01885,0.0001263,343.6
1200,1.977596,0.00010342,374.9
1300,1.939598,8.169e-05,406.4
1400,1.917363,6.164e-05,438.1
1500,1.90692,4.377e-05,470.0
1600,1.895204,2.851e-05,501.5
1700,1.855095,1.624e-05,533.0
1800,1.854772,7.27e-06,564.6
1900,1.8822,1.81e-06,596.0
1999,1.872412,0.0,626.8
